# Collector: Intel(R) PMWatch v3.2.1
# Output Format: v1.0
# Collected on Thu May 19 06:19:01 2022
# Default Format
# Avg column: read_hit_ratio (derived), write_hit_ratio (derived)
timestamp;;DIMM0;;;;;;;;;;DIMM1;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);media_read_ops (derived);media_write_ops (derived);read_64B_ops_received;write_64B_ops_received;cpu_read_ops;cpu_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);media_read_ops (derived);media_write_ops (derived);read_64B_ops_received;write_64B_ops_received;cpu_read_ops;cpu_write_ops;
1652941151;21001194568;501760;7911936;0.00;0.00;1960;30906;131464;123624;37;17;565504;7965696;0.00;0.00;2209;31116;133300;124464;37;17;
1652941161;21001284300;504064;7956224;0.00;0.00;1969;31079;132192;124316;37;17;576000;8023552;0.00;0.00;2250;31342;134368;125368;37;17;
1652941171;21001262206;502784;7954432;0.00;0.00;1964;31072;132144;124288;38;17;571136;8019712;0.00;0.00;2231;31327;134232;125308;38;17;
1652941181;21001283632;507392;7958016;0.00;0.00;1982;31086;132272;124344;37;17;566784;8016384;0.00;0.00;2214;31314;134112;125256;37;17;
1652941191;21001360960;508160;7957760;0.00;0.00;1985;31085;132280;124340;37;17;568064;8012288;0.00;0.00;2219;31298;134068;125192;37;17;
1652941201;21001394606;504320;7955968;0.00;0.00;1970;31078;132192;124312;37;17;565248;8011264;0.00;0.00;2208;31294;134008;125176;37;17;
1652941211;21001364854;507136;7956736;0.00;0.00;1981;31081;132248;124324;37;17;561152;8007936;0.00;0.00;2192;31281;133892;125124;37;17;
