# Collector: Intel(R) PMWatch v3.2.1
# Output Format: v1.0
# Collected on Thu May 19 08:42:06 2022
# Default Format
# Avg column: read_hit_ratio (derived), write_hit_ratio (derived)
timestamp;;DIMM0;;;;;;;;;;DIMM1;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);media_read_ops (derived);media_write_ops (derived);read_64B_ops_received;write_64B_ops_received;cpu_read_ops;cpu_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);media_read_ops (derived);media_write_ops (derived);read_64B_ops_received;write_64B_ops_received;cpu_read_ops;cpu_write_ops;
1652949736;21001279204;7462697216;9676544;0.75;0.00;29151161;37799;116755840;151196;116408928;212;7456215296;9920256;0.75;0.00;29125841;38751;116658368;155004;116312852;213;
1652949746;21001394066;7669774336;9722880;0.75;0.00;29960056;37980;119992144;151920;119655749;17;7681829120;10021888;0.75;0.00;30007145;39148;120185172;156592;119811657;17;
1652949756;21001394862;8360094208;9880576;0.75;0.00;32656618;38596;130780856;154384;130415385;17;8357639424;10209536;0.75;0.00;32647029;39881;130747640;159524;130371286;17;
1652949766;21001405142;7696300800;9730560;0.75;0.00;30063675;38010;120406740;152040;120056206;17;7695946752;9984256;0.75;0.00;30062292;39001;120405172;156004;120047442;17;
1652949776;21001397854;7658661632;9724160;0.75;0.00;29916647;37985;119818528;151940;119483610;17;7659111680;10028544;0.75;0.00;29918405;39174;119830316;156696;119484158;17;
1652949786;21001348064;7699277312;9766656;0.75;0.00;30075302;38151;120453812;152604;120115136;17;7699764224;10033408;0.75;0.00;30077204;39193;120465588;156772;120116530;17;
1652949796;21001349436;7804091136;9759488;0.75;0.00;30484731;38123;122091416;152492;121760479;17;7809481728;10082816;0.75;0.00;30505788;39386;122180696;157544;121824205;17;
1652949806;21001396668;7704056576;9764864;0.75;0.00;30093971;38144;120528460;152576;120189133;17;7699340544;10017024;0.75;0.00;30075549;39129;120458712;156516;120112730;17;
1652949816;21001390132;7809894912;9728000;0.75;0.00;30507402;38000;122181608;152000;121857939;17;7812587264;10020096;0.75;0.00;30517919;39141;122228240;156564;121863212;17;
1652949826;21001311636;8388427520;9901312;0.75;0.00;32767295;38677;131223888;154708;130868247;17;8391129600;10220032;0.75;0.00;32777850;39922;131271088;159688;130908843;17;
1652949836;21001392048;7794163456;9814016;0.75;0.00;30445951;38336;121937148;153344;121596312;17;7794706176;10007296;0.75;0.00;30448071;39091;121948648;156364;121602755;17;
1652949846;21001382640;7820794624;9790976;0.75;0.00;30549979;38246;122352900;152984;122018138;17;7820269056;10071552;0.75;0.00;30547926;39342;122349072;157368;122000029;17;
1652949856;21001284914;7766885376;9772288;0.75;0.00;30339396;38173;121510276;152692;121171539;17;7765491712;10032640;0.75;0.00;30333952;39190;121492568;156760;121144890;17;
1652949866;21001389402;7850578176;9757184;0.75;0.00;30666321;38114;122817740;152456;122490387;17;7853308672;10029824;0.75;0.00;30676987;39179;122864664;156716;122499874;17;
1652949876;21001286968;7797902080;9768448;0.75;0.00;30460555;38158;121994852;152632;121655521;17;7799801600;10043904;0.75;0.00;30467975;39234;122028836;156936;121678805;17;
1652949886;21001397276;7854850304;9762816;0.75;0.00;30683009;38136;122884580;152544;122550041;17;7857242112;10013184;0.75;0.00;30692352;39114;122925864;156456;122571755;17;
1652949896;21001292824;6043597568;9350912;0.75;0.00;23607803;36527;94577320;146108;94287661;17;6035377152;9602304;0.75;0.00;23575692;37509;94452804;150036;94147840;17;
1652949906;21001373262;507648;7957248;0.00;0.00;1983;31083;132264;124332;37;17;556288;8004608;0.00;0.00;2173;31268;133764;125072;37;17;
1652949916;21001423018;501760;7955200;0.00;0.00;1960;31075;132140;124300;37;17;557568;8003840;0.00;0.00;2178;31265;133772;125060;37;17;
1652949926;21001329476;509952;7958528;0.00;0.00;1992;31088;132320;124352;37;17;562944;8009984;0.00;0.00;2199;31289;133952;125156;37;17;
