# Collector: Intel(R) PMWatch v3.2.1
# Output Format: v1.0
# Collected on Thu May 19 08:38:41 2022
# Default Format
# Avg column: read_hit_ratio (derived), write_hit_ratio (derived)
timestamp;;DIMM0;;;;;;;;;;DIMM1;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);media_read_ops (derived);media_write_ops (derived);read_64B_ops_received;write_64B_ops_received;cpu_read_ops;cpu_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);media_read_ops (derived);media_write_ops (derived);read_64B_ops_received;write_64B_ops_received;cpu_read_ops;cpu_write_ops;
1652949531;21001379738;7531757312;9697792;0.75;0.00;29420927;37882;117835236;151528;117496984;213;7534248960;9923584;0.75;0.00;29430660;38764;117877696;155056;117498800;212;
1652949541;21001211986;8433713152;9889536;0.75;0.00;32944192;38631;131931292;154524;131579475;17;8442448384;10224384;0.75;0.00;32978314;39939;132073012;159756;131643015;17;
1652949551;21001220012;7669379072;9754368;0.75;0.00;29958512;38103;119986460;152412;119654166;17;7673211392;10021120;0.75;0.00;29973482;39145;120050508;156580;119672156;17;
1652949561;21001286078;7803210496;9729280;0.75;0.00;30481291;38005;122077184;152020;121734976;17;7805919744;10016512;0.75;0.00;30491874;39127;122124004;156508;121742524;17;
1652949571;21001199398;7824530688;9758976;0.75;0.00;30564573;38121;122410776;152484;122045432;17;7820567296;10077440;0.75;0.00;30549091;39365;122353824;157460;121988960;17;
1652949581;21001188016;7914963712;9794304;0.75;0.00;30917827;38259;123824344;153036;123464433;17;7915443200;10024192;0.75;0.00;30919700;39157;123835428;156628;123465806;17;
1652949591;21001386294;8308229120;9849600;0.75;0.00;32454020;38475;129969980;153900;129594160;17;8310466816;10174976;0.75;0.00;32462761;39746;130010028;158984;129634543;17;
1652949601;21001282722;7961417472;9800192;0.75;0.00;31099287;38282;124550276;153128;124183745;17;7958349312;10108928;0.75;0.00;31087302;39488;124507160;157952;124137114;17;
1652949611;21001386946;7998478592;9779968;0.75;0.00;31244057;38203;125129040;152812;124777591;17;8000862976;10131968;0.75;0.00;31253371;39578;125171796;158312;124793614;17;
1652949621;21001391128;7919746560;9787648;0.75;0.00;30936510;38233;123898972;152932;123531280;17;7918927872;10081536;0.75;0.00;30933312;39381;123890772;157524;123524986;17;
1652949631;21001342794;8062604800;9816576;0.75;0.00;31494550;38346;126131584;153384;125776919;17;8065747456;10085376;0.75;0.00;31506826;39396;126184888;157584;125801664;17;
1652949641;21001393422;7743667968;9738240;0.75;0.00;30248703;38040;121146972;152160;120783816;17;7740131328;10035456;0.75;0.00;30234888;39201;121096356;156804;120735215;17;
1652949651;21001394114;7877134336;9780480;0.75;0.00;30770056;38205;123233044;152820;122858610;17;7883334656;10055936;0.75;0.00;30794276;39281;123334228;157124;122957611;17;
1652949661;21001251280;8300942336;9918464;0.75;0.00;32425556;38744;129857200;154976;129472496;17;8294375680;10199040;0.75;0.00;32399905;39840;129758980;159360;129371432;17;
1652949671;21001175638;7855660544;9813248;0.75;0.00;30686174;38333;122898028;153332;122523196;17;7855977984;10073088;0.75;0.00;30687414;39348;122907048;157392;122530311;17;
1652949681;21001376166;7919313920;9793024;0.75;0.00;30934820;38254;123892296;153016;123533982;17;7923810048;10086144;0.75;0.00;30952383;39399;123967128;157596;123572836;17;
1652949691;21001234118;7862512384;9791488;0.75;0.00;30712939;38248;123004748;152992;122628791;17;7859205888;10100480;0.75;0.00;30700023;39455;122957912;157820;122581115;17;
1652949701;21001438408;459433984;8083968;0.75;0.00;1794664;31578;7304968;126312;7159856;17;454283520;8137216;0.75;0.00;1774545;31786;7225324;127144;7074948;17;
1652949711;21001256860;506624;7958016;0.00;0.00;1979;31086;132260;124344;37;17;564736;8008448;0.00;0.00;2206;31283;133956;125132;37;17;
